Site Num,Latitude,Longitude,State,Time Zone,Annual NO2 Average
100_2,40.811389,-77.877028,PA,America/New_York,3.1102976966077858
100_3,35.16126,-89.87065,TN,America/Chicago,9.908524293343406
100_4,41.386944,-107.616667,WY,America/Denver,0.9379840420757412
100_5,41.182227,-104.778334,WY,America/Denver,3.1889640044093315
100_6,42.82231,-106.36501,WY,America/Denver,4.110031527906832
100_7,42.7907,-110.0551,WY,America/Denver,0.5209991081914302
1010_1,42.290767,-83.12066,MI,America/Detroit,
1010_2,41.841039,-71.36097,RI,America/New_York,5.708619344986144
20_1,44.76323,-93.03255,MN,America/Chicago,6.912156853454321
20_2,36.035,-107.904167,NM,America/Denver,0.6738070602308408
20_3,44.087397,-103.273777,SD,America/Denver,4.0854255352765
